state,county,party_x,DEM_votes,party_y,REP_votes
Delaware,Kent,REP,41009,DEM,44552
Delaware,New Castle,REP,88364,DEM,195034
Delaware,Sussex,REP,71230,DEM,56682
District of Columbia,District of Columbia,REP,1703,DEM,38037
District of Columbia,Ward 2,REP,2874,DEM,28185
District of Columbia,Ward 3,REP,3638,DEM,38436
District of Columbia,Ward 4,REP,1885,DEM,41604
District of Columbia,Ward 5,REP,1725,DEM,42453
District of Columbia,Ward 6,REP,4176,DEM,52357
District of Columbia,Ward 7,REP,1116,DEM,35861
District of Columbia,Ward 8,REP,1055,DEM,30332
Florida,Alachua,REP,50891,DEM,89527
Florida,Baker,REP,11911,DEM,2037
Florida,Bay,REP,66063,DEM,25572
Florida,Bradford,REP,10334,DEM,3160
Florida,Brevard,REP,207857,DEM,148479
Florida,Broward,REP,333346,DEM,618597
Florida,Calhoun,REP,5274,DEM,1209
Florida,Charlotte,REP,73202,DEM,42240
Florida,Citrus,REP,65348,DEM,27088
Florida,Clay,REP,84470,DEM,38294
Florida,Collier,REP,128936,DEM,77595
Florida,Columbia,REP,23835,DEM,8912
Florida,DeSoto,REP,8313,DEM,4259
Florida,Dixie,REP,6758,DEM,1364
Florida,Duval,REP,233687,DEM,252450
Florida,Escambia,REP,96655,DEM,70893
Florida,Flagler,REP,43039,DEM,28148
Florida,Franklin,REP,4675,DEM,2118
Florida,Gadsden,REP,7465,DEM,16152
Florida,Gilchrist,REP,7895,DEM,1700
Florida,Glades,REP,3781,DEM,1384
Florida,Gulf,REP,6113,DEM,1985
Florida,Hamilton,REP,3815,DEM,1963
Florida,Hardee,REP,6122,DEM,2298
Florida,Hendry,REP,7904,DEM,4929
Florida,Hernando,REP,70321,DEM,37446
Florida,Highlands,REP,34846,DEM,16917
Florida,Hillsborough,REP,327306,DEM,376196
Florida,Holmes,REP,8079,DEM,924
Florida,Indian River,REP,58870,DEM,37843
Florida,Jackson,REP,15488,DEM,6766
Florida,Jefferson,REP,4478,DEM,3895
Florida,Lafayette,REP,3128,DEM,509
Florida,Lake,REP,125853,DEM,83491
Florida,Lee,REP,233242,DEM,157672
Florida,Leon,REP,57446,DEM,103492
Florida,Levy,REP,16746,DEM,6203
Florida,Liberty,REP,2846,DEM,693
Florida,Madison,REP,5576,DEM,3747
Florida,Manatee,REP,124966,DEM,90127
Florida,Marion,REP,127825,DEM,74848
Florida,Martin,REP,61152,DEM,36878
Florida,Miami-Dade,REP,532734,DEM,617647
Florida,Monroe,REP,25688,DEM,21864
Florida,Nassau,REP,42563,DEM,15561
Florida,Okaloosa,REP,79771,DEM,34227
Florida,Okeechobee,REP,11470,DEM,4389
Florida,Orange,REP,245325,DEM,394857
Florida,Osceola,REP,73467,DEM,97278
Florida,Palm Beach,REP,334642,DEM,433392
Florida,Pasco,REP,179545,DEM,118918
Florida,Pinellas,REP,276191,DEM,277397
Florida,Polk,REP,194571,DEM,145022
Florida,Putnam,REP,25514,DEM,10524
Florida,St. Johns,REP,110886,DEM,63808
Florida,St. Lucie,REP,86825,DEM,84115
Florida,Santa Rosa,REP,77349,DEM,27582
Florida,Sarasota,REP,148323,DEM,120050
Florida,Seminole,REP,125217,DEM,132486
Florida,Sumter,REP,62757,DEM,29331
Florida,Suwannee,REP,16410,DEM,4485
Florida,Taylor,REP,7748,DEM,2299
Florida,Union,REP,5133,DEM,1053
Florida,Volusia,REP,173797,DEM,130451
Florida,Wakulla,REP,12873,DEM,5348
Florida,Walton,REP,32942,DEM,10336
Florida,Washington,REP,9876,DEM,2347
Georgia,Appling,REP,6526,DEM,1779
Georgia,Atkinson,REP,2300,DEM,825
Georgia,Bacon,REP,4018,DEM,625
Georgia,Baker,REP,897,DEM,652
Georgia,Baldwin,REP,8903,DEM,9140
Georgia,Banks,REP,7795,DEM,932
Georgia,Barrow,REP,26804,DEM,10453
Georgia,Bartow,REP,37674,DEM,12092
Georgia,Ben Hill,REP,4110,DEM,2392
Georgia,Berrien,REP,6419,DEM,1269
Georgia,Bibb,REP,26585,DEM,43468
Georgia,Bleckley,REP,4328,DEM,1311
Georgia,Brantley,REP,6991,DEM,699
Georgia,Brooks,REP,4260,DEM,2790
Georgia,Bryan,REP,14244,DEM,6739
Georgia,Bulloch,REP,18386,DEM,11243
Georgia,Burke,REP,5400,DEM,5209
Georgia,Butts,REP,8405,DEM,3272
Georgia,Calhoun,REP,923,DEM,1260
Georgia,Camden,REP,15251,DEM,7967
Georgia,Candler,REP,3134,DEM,1269
Georgia,Carroll,REP,37476,DEM,16238
Georgia,Catoosa,REP,25167,DEM,6932
Georgia,Charlton,REP,3419,DEM,1103
Georgia,Chatham,REP,53288,DEM,78369
Georgia,Chattahoochee,REP,880,DEM,667
Georgia,Chattooga,REP,8064,DEM,1854
Georgia,Cherokee,REP,99587,DEM,42794
Georgia,Clarke,REP,14446,DEM,36048
Georgia,Clay,REP,637,DEM,790
Georgia,Clayton,REP,15813,DEM,95476
Georgia,Clinch,REP,2105,DEM,747
Georgia,Cobb,REP,165459,DEM,221846
Georgia,Coffee,REP,10578,DEM,4511
Georgia,Colquitt,REP,11777,DEM,4187
Georgia,Columbia,REP,50013,DEM,29236
Georgia,Cook,REP,4900,DEM,2059
Georgia,Coweta,REP,51501,DEM,24210
Georgia,Crawford,REP,4428,DEM,1615
Georgia,Crisp,REP,4987,DEM,2986
Georgia,Dade,REP,6066,DEM,1261
Georgia,Dawson,REP,13398,DEM,2486
Georgia,Decatur,REP,6758,DEM,4780
Georgia,DeKalb,REP,58369,DEM,308140
Georgia,Dodge,REP,5843,DEM,2171
Georgia,Dooly,REP,2159,DEM,1911
Georgia,Dougherty,REP,10449,DEM,24579
Georgia,Douglas,REP,25323,DEM,42653
Georgia,Early,REP,2722,DEM,2437
Georgia,Echols,REP,1256,DEM,167
Georgia,Effingham,REP,23357,DEM,7720
Georgia,Elbert,REP,6226,DEM,2879
Georgia,Emanuel,REP,6551,DEM,2884
Georgia,Evans,REP,2888,DEM,1324
Georgia,Fannin,REP,12169,DEM,2571
Georgia,Fayette,REP,36375,DEM,31937
Georgia,Floyd,REP,27120,DEM,10972
Georgia,Forsyth,REP,85122,DEM,42203
Georgia,Franklin,REP,9069,DEM,1593
Georgia,Fulton,REP,137240,DEM,381144
Georgia,Gilmer,REP,13429,DEM,2932
Georgia,Glascock,REP,1403,DEM,155
Georgia,Glynn,REP,25616,DEM,15879
Georgia,Gordon,REP,19405,DEM,4384
Georgia,Grady,REP,7034,DEM,3619
Georgia,Greene,REP,7068,DEM,4088
Georgia,Gwinnett,REP,166413,DEM,241827
Georgia,Habersham,REP,16637,DEM,3563
Georgia,Hall,REP,64170,DEM,25031
Georgia,Hancock,REP,1159,DEM,2985
Georgia,Haralson,REP,12331,DEM,1792
Georgia,Harris,REP,14319,DEM,5457
Georgia,Hart,REP,9464,DEM,3157
Georgia,Heard,REP,4516,DEM,824
Georgia,Henry,REP,48187,DEM,73276
Georgia,Houston,REP,41534,DEM,32232
Georgia,Irwin,REP,3134,DEM,1008
Georgia,Jackson,REP,29497,DEM,7642
Georgia,Jasper,REP,5822,DEM,1761
Georgia,Jeff Davis,REP,4695,DEM,1028
Georgia,Jefferson,REP,3537,DEM,4061
Georgia,Jenkins,REP,2161,DEM,1266
Georgia,Johnson,REP,2850,DEM,1222
Georgia,Jones,REP,9965,DEM,4888
Georgia,Lamar,REP,6330,DEM,2615
Georgia,Lanier,REP,2509,DEM,1019
Georgia,Laurens,REP,14493,DEM,8073
Georgia,Lee,REP,12007,DEM,4558
Georgia,Liberty,REP,7944,DEM,13051
Georgia,Lincoln,REP,3179,DEM,1435
Georgia,Long,REP,3528,DEM,2033
Georgia,Lowndes,REP,25691,DEM,20117
Georgia,Lumpkin,REP,12163,DEM,3126
Georgia,McDuffie,REP,6169,DEM,4168
Georgia,McIntosh,REP,4016,DEM,2612
Georgia,Macon,REP,1783,DEM,2857
Georgia,Madison,REP,11326,DEM,3411
