state,normalized_election_outcome,state_id
Delaware,0.5962674416498447,10
Florida,0.483000419348562,12
Georgia,0.5014372665405323,13
Hawaii,0.6503633165739869,15
Idaho,0.34123275147742577,16
Illinois,0.5980270962516789,17
Indiana,0.41792821885583886,18
Iowa,0.4581010108331597,19
Kansas,0.42251425566604756,20
Kentucky,0.3679758121006209,21
Louisiana,0.4053555954370895,22
Maine,0.5514281666417423,23
Maryland,0.6450900455326019,24
Massachusetts,0.6676088844901092,25
Michigan,0.5135362836097442,26
Minnesota,0.536421329777871,27
Mississippi,0.4018938485919267,28
Missouri,0.4206354014402144,29
Montana,0.41603370650930616,30
Nebraska,0.40176990576850574,31
Nevada,0.512231173400438,32
New Hampshire,0.5374887584951625,33
New Jersey,0.5790717234298075,34
New Mexico,0.5546089799288237,35
New York,0.5677437913510404,36
North Carolina,0.4932212350895318,37
North Dakota,0.32783335140347974,38
Ohio,0.45854908272642303,39
Oklahoma,0.3305996050309349,40
Oregon,0.5833439053817705,41
Pennsylvania,0.5048381295096873,42
Rhode Island,0.605096221112916,44
South Carolina,0.44073391250417904,45
South Dakota,0.365652201383185,46
Tennessee,0.3811647011437189,47
Texas,0.47081289047269625,48
Utah,0.39491877843681367,49
Vermont,0.6832277341376128,50
Virginia,0.5514861089687559,51
Washington,0.5998031524621595,53
West Virginia,0.3019373900520575,54
Wisconsin,0.5031700019625438,55
Wyoming,0.27519565624414905,56
Alabama,0.3703289205631112,01
Arkansas,0.35607559104872344,05
California,0.6517027316240485,06
Colorado,0.5693984248270141,08
Connecticut,0.601766219588272,09
Arizona,0.5015563643257359,04
Alaska,,02
District of Columbia,,11
