state,total_votes
Delaware,504010
District of Columbia,333682
Florida,11075446
Georgia,4992709
Hawaii,574341
Idaho,868125
Illinois,5936521
Indiana,3034616
Iowa,1687871
Kansas,1334330
Kentucky,2135193
Louisiana,2148062
Maine,786337
Maryland,2905561
Massachusetts,3482407
Michigan,5533240
Minnesota,3272487
Mississippi,1240750
Missouri,3010316
Montana,605738
Nebraska,946256
Nevada,1405376
New Hampshire,804453
New Jersey,4228584
New Mexico,921515
New York,6751133
North Carolina,5513240
North Dakota,361808
Ohio,5764587
Oklahoma,1560699
Oregon,2357873
Pennsylvania,6855549
Rhode Island,513602
South Carolina,2513329
South Dakota,422609
Tennessee,3049514
Texas,11255671
Utah,1463880
Vermont,367761
Virginia,4442598
Washington,4033774
West Virginia,793902
Wisconsin,3297174
Wyoming,276765
Alabama,2309900
Alaska,334789
Arkansas,1211793
California,16872670
Colorado,3450965
Connecticut,1823932
United States,154753190
Arizona,3385747
