state,county,party_x,total_votes_x,number,per capita income,party_y,total_votes_y
Delaware,Kent,DEM,44552,1077,24851,REP,41009
Delaware,NewCastle,DEM,195034,206,32406,REP,88364
Delaware,Sussex,DEM,56682,667,26908,REP,71230
District of Columbia,DistrictofColumbia,DEM,307265,23,45290,REP,18172
Florida,Alachua,DEM,89527,1076,24857,REP,50891
Florida,Baker,DEM,2037,2373,19852,REP,11911
Florida,Bay,DEM,25572,1167,24498,REP,66063
Florida,Bradford,DEM,3160,2825,17749,REP,10334
Florida,Brevard,DEM,148479,646,27009,REP,207857
Florida,Broward,DEM,618597,471,28205,REP,333346
Florida,Calhoun,DEM,1209,3079,14675,REP,5274
Florida,Charlotte,DEM,42240,774,26286,REP,73202
Florida,Citrus,DEM,27088,1509,23148,REP,65348
Florida,Clay,DEM,38294,729,26577,REP,84470
Florida,Collier,DEM,77595,94,36439,REP,128936
Florida,Columbia,DEM,8912,2508,19306,REP,23835
Florida,DeSoto,DEM,4259,3063,15088,REP,8313
Florida,Dixie,DEM,1364,2940,16851,REP,6758
Florida,Duval,DEM,252450,807,26143,REP,233687
Florida,Escambia,DEM,70893,1427,23441,REP,96655
Florida,Flagler,DEM,28148,1168,24497,REP,43039
Florida,Franklin,DEM,2118,2375,19843,REP,4675
Florida,Gadsden,DEM,16152,2846,17615,REP,7465
Florida,Gilchrist,DEM,1700,2302,20180,REP,7895
Florida,Glades,DEM,1384,3017,16011,REP,3781
Florida,Gulf,DEM,1985,2679,18546,REP,6113
Florida,Hamilton,DEM,1963,2998,16295,REP,3815
Florida,Hardee,DEM,2298,3053,15366,REP,6122
Florida,Hendry,DEM,4929,3010,16133,REP,7904
Florida,Hernando,DEM,37446,1991,21411,REP,70321
Florida,Highlands,DEM,16917,2320,20072,REP,34846
Florida,Hillsborough,DEM,376196,621,27149,REP,327306
Florida,Holmes,DEM,924,2943,16845,REP,8079
Florida,IndianRiver,DEM,37843,295,30532,REP,58870
Florida,Jackson,DEM,6766,2854,17525,REP,15488
Florida,Jefferson,DEM,3895,2052,21184,REP,4478
Florida,Lafayette,DEM,509,2658,18660,REP,3128
Florida,Lake,DEM,83491,1236,24183,REP,125853
Florida,Lee,DEM,157672,589,27348,REP,233242
Florida,Leon,DEM,103492,798,26196,REP,57446
Florida,Levy,DEM,6203,2723,18304,REP,16746
Florida,Liberty,DEM,693,3000,16266,REP,2846
Florida,Madison,DEM,3747,3045,15538,REP,5576
Florida,Manatee,DEM,90127,595,27322,REP,124966
Florida,Marion,DEM,74848,1824,21992,REP,127825
Florida,Martin,DEM,36878,145,34057,REP,61152
Florida,Miami-Dade,DEM,617647,1502,23174,REP,532734
Florida,Monroe,DEM,21864,147,33974,REP,25688
Florida,Nassau,DEM,15561,401,28926,REP,42563
Florida,Okaloosa,DEM,34227,432,28600,REP,79771
Florida,Okeechobee,DEM,4389,2818,17787,REP,11470
Florida,Orange,DEM,394857,1072,24877,REP,245325
Florida,Osceola,DEM,97278,2573,19007,REP,73467
Florida,PalmBeach,DEM,433392,191,32858,REP,334642
Florida,Pasco,DEM,118918,1352,23736,REP,179545
Florida,Pinellas,DEM,277397,377,29262,REP,276191
Florida,Polk,DEM,145022,2027,21285,REP,194571
Florida,Putnam,DEM,10524,2710,18377,REP,25514
Florida,St.Johns,DEM,63808,87,36836,REP,110886
Florida,St.Lucie,DEM,84115,1466,23285,REP,86825
Florida,SantaRosa,DEM,27582,677,26861,REP,77349
Florida,Sarasota,DEM,120050,211,32313,REP,148323
Florida,Seminole,DEM,132486,428,28675,REP,125217
Florida,Sumter,DEM,29331,560,27504,REP,62757
Florida,Suwannee,DEM,4485,2699,18431,REP,16410
Florida,Taylor,DEM,2299,2919,17045,REP,7748
Florida,Union,DEM,1053,3111,13590,REP,5133
Florida,Volusia,DEM,130451,1291,23973,REP,173797
Florida,Wakulla,DEM,5348,1879,21797,REP,12873
Florida,Walton,DEM,10336,868,25845,REP,32942
Florida,Washington,DEM,2347,2872,17385,REP,9876
Georgia,Appling,DEM,1779,2426,19643,REP,6526
Georgia,Atkinson,DEM,825,3020,15958,REP,2300
Georgia,Bacon,DEM,625,2676,18558,REP,4018
Georgia,Baker,DEM,652,2924,17019,REP,897
Georgia,Baldwin,DEM,9140,2664,18622,REP,8903
Georgia,Banks,DEM,932,2287,20231,REP,7795
Georgia,Barrow,DEM,10453,2000,21379,REP,26804
Georgia,Bartow,DEM,12092,2085,21022,REP,37674
Georgia,BenHill,DEM,2392,3092,14204,REP,4110
Georgia,Berrien,DEM,1269,2954,16784,REP,6419
Georgia,Bibb,DEM,43468,2095,20982,REP,26585
Georgia,Bleckley,DEM,1311,2308,20156,REP,4328
Georgia,Brantley,DEM,699,2933,16938,REP,6991
Georgia,Brooks,DEM,2790,2483,19409,REP,4260
Georgia,Bryan,DEM,6739,555,27556,REP,14244
Georgia,Bulloch,DEM,11243,2669,18587,REP,18386
Georgia,Burke,DEM,5209,3009,16171,REP,5400
Georgia,Butts,DEM,3272,2245,20363,REP,8405
Georgia,Calhoun,DEM,1260,3069,14868,REP,923
Georgia,Camden,DEM,7967,1636,22701,REP,15251
Georgia,Candler,DEM,1269,2782,17974,REP,3134
Georgia,Carroll,DEM,16238,2038,21227,REP,37476
Georgia,Catoosa,DEM,6932,1905,21690,REP,25167
Georgia,Charlton,DEM,1103,2912,17102,REP,3419
Georgia,Chatham,DEM,78369,1036,25093,REP,53288
Georgia,Chattahoochee,DEM,667,2327,20042,REP,880
Georgia,Chattooga,DEM,1854,3015,16045,REP,8064
Georgia,Cherokee,DEM,42794,354,29615,REP,99587
Georgia,Clarke,DEM,36048,2512,19295,REP,14446
Georgia,Clay,DEM,790,3119,12982,REP,637
Georgia,Clayton,DEM,95476,2787,17950,REP,15813
Georgia,Clinch,DEM,747,2815,17815,REP,2105
Georgia,Cobb,DEM,221846,178,33069,REP,165459
Georgia,Coffee,DEM,4511,2921,17031,REP,10578
Georgia,Colquitt,DEM,4187,2922,17025,REP,11777
Georgia,Columbia,DEM,29236,274,30949,REP,50013
Georgia,Cook,DEM,2059,2668,18592,REP,4900
Georgia,Coweta,DEM,24210,696,26757,REP,51501
Georgia,Crawford,DEM,1615,2192,20556,REP,4428
Georgia,Crisp,DEM,2986,2737,18185,REP,4987
Georgia,Dade,DEM,1261,1906,21690,REP,6066
Georgia,Dawson,DEM,2486,591,27330,REP,13398
Georgia,Decatur,DEM,4780,2766,18059,REP,6758
Georgia,DeKalb,DEM,308140,414,28810,REP,58369
Georgia,Dodge,DEM,2171,2753,18114,REP,5843
Georgia,Dooly,DEM,1911,3082,14510,REP,2159
Georgia,Dougherty,DEM,24579,2665,18619,REP,10449
Georgia,Douglas,DEM,42653,1383,23626,REP,25323
Georgia,Early,DEM,2437,2850,17579,REP,2722
Georgia,Echols,DEM,167,3026,15861,REP,1256
Georgia,Effingham,DEM,7720,1086,24824,REP,23357
Georgia,Elbert,DEM,2879,2619,18835,REP,6226
Georgia,Emanuel,DEM,2884,2917,17064,REP,6551
Georgia,Evans,DEM,1324,2578,18998,REP,2888
Georgia,Fannin,DEM,2571,2535,19164,REP,12169
Georgia,Fayette,DEM,31937,113,35344,REP,36375
Georgia,Floyd,DEM,10972,2211,20500,REP,27120
Georgia,Forsyth,DEM,42203,130,34582,REP,85122
Georgia,Franklin,DEM,1593,2730,18234,REP,9069
Georgia,Fulton,DEM,381144,89,36757,REP,137240
Georgia,Gilmer,DEM,2932,2019,21317,REP,13429
Georgia,Glascock,DEM,155,2776,17984,REP,1403
Georgia,Glynn,DEM,15879,702,26724,REP,25616
Georgia,Gordon,DEM,4384,2531,19177,REP,19405
Georgia,Grady,DEM,3619,3033,15734,REP,7034
Georgia,Greene,DEM,4088,517,27828,REP,7068
Georgia,Gwinnett,DEM,241827,851,25932,REP,166413
Georgia,Habersham,DEM,3563,2600,18910,REP,16637
Georgia,Hall,DEM,25031,1378,23645,REP,64170
Georgia,Hancock,DEM,2985,3130,12381,REP,1159
Georgia,Haralson,DEM,1792,2385,19789,REP,12331
Georgia,Harris,DEM,5457,249,31482,REP,14319
Georgia,Hart,DEM,3157,2243,20371,REP,9464
Georgia,Heard,DEM,824,2586,18964,REP,4516
Georgia,Henry,DEM,73276,989,25299,REP,48187
Georgia,Houston,DEM,32232,1014,25195,REP,41534
Georgia,Irwin,DEM,1008,2733,18207,REP,3134
Georgia,Jackson,DEM,7642,1475,23247,REP,29497
Georgia,Jasper,DEM,1761,2025,21297,REP,5822
Georgia,JeffDavis,DEM,1028,2837,17684,REP,4695
Georgia,Jefferson,DEM,4061,3073,14757,REP,3537
Georgia,Jenkins,DEM,1266,2851,17565,REP,2161
Georgia,Johnson,DEM,1222,2950,16807,REP,2850
Georgia,Jones,DEM,4888,1173,24485,REP,9965
Georgia,Lamar,DEM,2615,2627,18800,REP,6330
Georgia,Lanier,DEM,1019,2886,17264,REP,2509
Georgia,Laurens,DEM,8073,2663,18625,REP,14493
Georgia,Lee,DEM,4558,761,26357,REP,12007
Georgia,Liberty,DEM,13051,2137,20791,REP,7944
Georgia,Lincoln,DEM,1435,2168,20641,REP,3179
Georgia,Long,DEM,2033,2903,17158,REP,3528
Georgia,Lowndes,DEM,20117,2603,18897,REP,25691
Georgia,Lumpkin,DEM,3126,2108,20908,REP,12163
