state,county,party_x,total_votes_x,number,per capita income,party_y,total_votes_y
Delaware,Delaware,DEM,296268,-1,29819.300971108903,REP,200603
District of Columbia,DistrictofColumbia,DEM,307265307265307265307265307265307265307265307265,-1,45290.0,REP,1817218172181721817218172181721817218172
Florida,Florida,DEM,5294767,-1,26236.408777970282,REP,5667474
Georgia,Georgia,DEM,2472182,-1,25181.947591830205,REP,2458010
Hawaii,Hawaii,DEM,366070,-1,29304.93054556499,REP,196800
Idaho,Idaho,DEM,287031,-1,22568.556385644744,REP,554128
Illinois,Illinois,DEM,4148322,-1,29666.606357804954,REP,2788357
Indiana,Indiana,DEM,1241503,-1,24635.173903326577,REP,1729110
Iowa,Iowa,DEM,758416,-1,27027.22121641651,REP,897149
Kansas,Kansas,DEM,551199,-1,26928.437175112373,REP,753370
Kentucky,Kentucky,DEM,772223,-1,23461.898529188224,REP,1326347
Louisiana,Louisiana,DEM,856034,-1,24441.930489661936,REP,1255776
Maine,Maine,DEM,420357,-1,26823.8587682185,REP,341949
Maryland,Maryland,DEM,1692326,-1,36354.42716957084,REP,931069
Massachusetts,Massachusetts,DEM,2271849,-1,35763.43888441253,REP,1131115
Michigan,Michigan,DEM,2795975,-1,25680.878162813522,REP,2648577
Minnesota,Minnesota,DEM,1718739,-1,30912.63962271913,REP,1485345
Mississippi,Mississippi,DEM,491224,-1,20618.343939880502,REP,731049
Missouri,Missouri,DEM,1242851,-1,25649.40046963782,REP,1711848
Montana,Montana,DEM,244783,-1,25373.48348812383,REP,343590
Nebraska,Nebraska,DEM,371918,-1,26898.78230855901,REP,553781
Nevada,Nevada,DEM,703486,-1,26589.50088715804,REP,669890
New Hampshire,NewHampshire,DEM,424937,-1,33133.890848115974,REP,365660
New Jersey,NewJersey,DEM,2410404,-1,36027.04017682158,REP,1752127
New Mexico,NewMexico,DEM,499782,-1,23762.937440873247,REP,401361
New York,NewYork,DEM,3777598,-1,32381.72527780367,REP,2876104
North Carolina,NorthCarolina,DEM,2681124,-1,25284.017888944385,REP,2754822
North Dakota,NorthDakota,DEM,114901,-1,29731.489746745705,REP,235585
Ohio,Ohio,DEM,2603677,-1,26045.51946043106,REP,3074400
Oklahoma,Oklahoma,DEM,503890,-1,24208.433618297284,REP,1020280
Oregon,Oregon,DEM,1333467,-1,26809.54728862588,REP,952435
Pennsylvania,Pennsylvania,DEM,3417479,-1,28502.060912009463,REP,3351976
Rhode Island,RhodeIsland,DEM,306192,-1,30469.311129177186,REP,199830
South Carolina,SouthCarolina,DEM,1091541,-1,23942.96395697754,REP,1385103
South Dakota,SouthDakota,DEM,150471,-1,25740.199548472006,REP,261043
Tennessee,Tennessee,DEM,1139376,-1,24408.76533377318,REP,1849820
Texas,Texas,DEM,5218943,-1,26018.46934631955,REP,5866019
Utah,Utah,DEM,554028,-1,23873.495430705698,REP,848863
Vermont,Vermont,DEM,242841,-1,29166.645635752444,REP,112591
Virginia,Virginia,DEM,2413317,-1,33493.395672299506,REP,1962708
Washington,Washington,DEM,2356584,-1,30742.55745156703,REP,1572345
West Virginia,WestVirginia,DEM,235657,-1,22966.123007478887,REP,544826
Wisconsin,Wisconsin,DEM,1630619,-1,27522.486134170522,REP,1610073
Wyoming,Wyoming,DEM,73491,-1,28901.833388291176,REP,193559
Alabama,Alabama,DEM,843473,-1,23680.1193502688,REP,1434159
Alaska,Alaska,DEM,143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037143037,-1,32650.56034573714,REP,179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080179080
Arkansas,Arkansas,DEM,419258,-1,22169.701768512594,REP,758183
California,California,DEM,10760110,-1,29527.209124436344,REP,5750654
Colorado,Colorado,DEM,1803873,-1,31109.469985421918,REP,1364160
Connecticut,Connecticut,DEM,1080387,-1,37892.62283019599,REP,714973
Arizona,Arizona,DEM,1672054,-1,25358.133774186867,REP,1661677
