state,county,party_x,total_votes_x,number,per_capita_income,party_y,total_votes_y,id,name,county_id,normalized_election_outcome
Delaware,Kent,DEM,44552,1077,24851,REP,41009,10001,Kent,001,0.5207045265950608
Delaware,NewCastle,DEM,195034,206,32406,REP,88364,10003,NewCastle,003,0.6881982229938108
Delaware,Sussex,DEM,56682,667,26908,REP,71230,10005,Sussex,005,0.44313277878541496
District of Columbia,DistrictofColumbia,DEM,307265,23,45290,REP,18172,,,,0.9441612355079477
Florida,Alachua,DEM,89527,1076,24857,REP,50891,12001,Alachua,001,0.6375749547778775
Florida,Baker,DEM,2037,2373,19852,REP,11911,12003,Baker,003,0.14604244336105535
Florida,Bay,DEM,25572,1167,24498,REP,66063,12005,Bay,005,0.27906367654280567
Florida,Bradford,DEM,3160,2825,17749,REP,10334,12007,Bradford,007,0.23417815325329777
Florida,Brevard,DEM,148479,646,27009,REP,207857,12009,Brevard,009,0.41668256926047326
Florida,Broward,DEM,618597,471,28205,REP,333346,12011,Broward,011,0.6498256723354234
Florida,Calhoun,DEM,1209,3079,14675,REP,5274,12013,Calhoun,013,0.18648773715872283
Florida,Charlotte,DEM,42240,774,26286,REP,73202,12015,Charlotte,015,0.3658980267147139
Florida,Citrus,DEM,27088,1509,23148,REP,65348,12017,Citrus,017,0.2930459993941754
Florida,Clay,DEM,38294,729,26577,REP,84470,12019,Clay,019,0.3119318366947965
Florida,Collier,DEM,77595,94,36439,REP,128936,12021,Collier,021,0.3757063104328164
Florida,Columbia,DEM,8912,2508,19306,REP,23835,12023,Columbia,023,0.2721470669068922
Florida,DeSoto,DEM,4259,3063,15088,REP,8313,12027,DeSoto,027,0.3387686923321667
Florida,Dixie,DEM,1364,2940,16851,REP,6758,12029,Dixie,029,0.16793893129770993
Florida,Duval,DEM,252450,807,26143,REP,233687,12031,Duval,031,0.5192980579548564
Florida,Escambia,DEM,70893,1427,23441,REP,96655,12033,Escambia,033,0.4231205385919259
Florida,Flagler,DEM,28148,1168,24497,REP,43039,12035,Flagler,035,0.3954092741652268
Florida,Franklin,DEM,2118,2375,19843,REP,4675,12037,Franklin,037,0.3117915501251288
Florida,Gadsden,DEM,16152,2846,17615,REP,7465,12039,Gadsden,039,0.6839141296523691
Florida,Gilchrist,DEM,1700,2302,20180,REP,7895,12041,Gilchrist,041,0.1771756122980719
Florida,Glades,DEM,1384,3017,16011,REP,3781,12043,Glades,043,0.26795740561471443
Florida,Gulf,DEM,1985,2679,18546,REP,6113,12045,Gulf,045,0.24512225240800198
Florida,Hamilton,DEM,1963,2998,16295,REP,3815,12047,Hamilton,047,0.33973693319487713
Florida,Hardee,DEM,2298,3053,15366,REP,6122,12049,Hardee,049,0.2729216152019002
Florida,Hendry,DEM,4929,3010,16133,REP,7904,12051,Hendry,051,0.3840878983869711
Florida,Hernando,DEM,37446,1991,21411,REP,70321,12053,Hernando,053,0.3474718605881207
Florida,Highlands,DEM,16917,2320,20072,REP,34846,12055,Highlands,055,0.32681645190580144
Florida,Hillsborough,DEM,376196,621,27149,REP,327306,12057,Hillsborough,057,0.5347475913359166
Florida,Holmes,DEM,924,2943,16845,REP,8079,12059,Holmes,059,0.10263245584805065
Florida,IndianRiver,DEM,37843,295,30532,REP,58870,12061,IndianRiver,061,0.3912917601563389
Florida,Jackson,DEM,6766,2854,17525,REP,15488,12063,Jackson,063,0.30403522962164103
Florida,Jefferson,DEM,3895,2052,21184,REP,4478,12065,Jefferson,065,0.46518571599187863
Florida,Lafayette,DEM,509,2658,18660,REP,3128,12067,Lafayette,067,0.13995050866098432
Florida,Lake,DEM,83491,1236,24183,REP,125853,12069,Lake,069,0.3988220345460104
Florida,Lee,DEM,157672,589,27348,REP,233242,12071,Lee,071,0.4033419115201809
Florida,Leon,DEM,103492,798,26196,REP,57446,12073,Leon,073,0.6430550895375859
Florida,Levy,DEM,6203,2723,18304,REP,16746,12075,Levy,075,0.27029500196086975
Florida,Liberty,DEM,693,3000,16266,REP,2846,12077,Liberty,077,0.19581802769143825
Florida,Madison,DEM,3747,3045,15538,REP,5576,12079,Madison,079,0.4019092566770353
Florida,Manatee,DEM,90127,595,27322,REP,124966,12081,Manatee,081,0.41901410087729496
Florida,Marion,DEM,74848,1824,21992,REP,127825,12083,Marion,083,0.36930424871591183
Florida,Martin,DEM,36878,145,34057,REP,61152,12085,Martin,085,0.37619096195042334
Florida,Miami-Dade,DEM,617647,1502,23174,REP,532734,12086,Miami-Dade,086,0.5369064683787371
Florida,Monroe,DEM,21864,147,33974,REP,25688,12087,Monroe,087,0.4597913862718708
Florida,Nassau,DEM,15561,401,28926,REP,42563,12089,Nassau,089,0.26772073498038673
Florida,Okaloosa,DEM,34227,432,28600,REP,79771,12091,Okaloosa,091,0.3002421095106932
Florida,Okeechobee,DEM,4389,2818,17787,REP,11470,12093,Okeechobee,093,0.27675137146100004
Florida,Orange,DEM,394857,1072,24877,REP,245325,12095,Orange,095,0.6167886632238957
Florida,Osceola,DEM,97278,2573,19007,REP,73467,12097,Osceola,097,0.5697267855574102
Florida,PalmBeach,DEM,433392,191,32858,REP,334642,12099,PalmBeach,099,0.5642875185213154
Florida,Pasco,DEM,118918,1352,23736,REP,179545,12101,Pasco,101,0.3984346468406469
Florida,Pinellas,DEM,277397,377,29262,REP,276191,12103,Pinellas,103,0.5010892577151239
Florida,Polk,DEM,145022,2027,21285,REP,194571,12105,Polk,105,0.42704649389121685
Florida,Putnam,DEM,10524,2710,18377,REP,25514,12107,Putnam,107,0.2920250846328875
Florida,St.Johns,DEM,63808,87,36836,REP,110886,12109,St.Johns,109,0.36525581874592145
