state,party
Alabama,REP
Alaska,REP
Arkansas,REP
Arizona,DEM
California,DEM
Colorado,DEM
Connecticut,DEM
Delaware,DEM
DC, DEM
Florida,REP
Georgia,DEM
Hawaii,DEM
Idaho,REP
Illinois,DEM
Iowa,REP
Indiana,REP
Kansas,REP
Kentucky,REP
Louisiana,REP
Maine,DEM
Maryland,DEM
Massachusetts,DEM
Michigan,DEM
Minnesota,DEM
Missouri,REP
Mississippi,REP
Montana,REP
Nebraska,REP
Nevada,DEM
New Hampshire,DEM
New Jersey,DEM
New Mexico,DEM
New York,DEM
North Carolina,REP
North Dakota,REP
Ohio,REP
Oklahoma,REP
Oregon,DEM
Pennsylvania,DEM
Rhode Island,DEM
South Carolina,REP
South Dakota,REP
Tennessee,REP
Texas,REP
Utah,REP
Vermont,DEM
Virginia,DEM
Washington,DEM
West Virginia,REP
Wisconsin,DEM
Wyoming,REP
