id,county,county_id,state,state_id,DEM_votes,REP_votes,dem_votes_%,rep_votes_%,TotalPop,percentageMen,percentageWomen,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Income,Poverty,ChildPoverty,Unemployment
1043,Cullman,43,Alabama,1,4454.0,36804.0,10.795482088322263,89.20451791167774,81703,49.230750400842076,49.230750400842076,40223,41480,4.2,92.3,1.1,0.4,0.6,0.0,21857.0,40997,16.4,19.6,5.8
1049,DeKalb,49,Alabama,1,4271.0,24744.0,14.719972428054454,85.28002757194554,71194,49.622159170716635,49.622159170716635,35328,35866,14.3,80.8,1.4,1.2,0.3,0.1,20020.0,38842,21.5,31.0,5.1
1095,Marshall,95,Alabama,1,5880.0,33094.0,15.086981064299275,84.91301893570072,94738,49.36878549262176,49.36878549262176,46771,47967,13.3,81.8,2.2,0.5,0.6,0.1,22710.0,41104,21.0,34.1,6.5
1103,Morgan,103,Alabama,1,13159.0,39504.0,24.987182651956786,75.0128173480432,119157,49.31393036078451,49.31393036078451,58761,60396,8.0,76.4,12.3,0.5,0.7,0.0,25013.0,47529,16.6,24.6,6.5
1077,Lauderdale,77,Alabama,1,11872.0,31578.0,27.32336018411968,72.6766398158803,92590,47.805378550599414,47.805378550599414,44263,48327,2.5,84.9,9.8,0.4,0.7,0.0,25803.0,44888,16.3,21.9,6.6
1071,Jackson,71,Alabama,1,3709.0,19644.0,15.882327752323038,84.11767224767695,52326,49.13809578412261,49.13809578412261,25712,26614,2.9,89.3,3.2,1.0,0.5,0.1,20946.0,39281,19.0,27.4,7.7
1009,Blount,9,Alabama,1,2627.0,24595.0,9.650282859451917,90.3497171405481,57667,49.40433870324449,49.40433870324449,28490,29177,9.0,87.4,1.5,0.3,0.1,0.0,22021.0,47412,15.6,25.4,4.9
1079,Lawrence,79,Alabama,1,3544.0,12266.0,22.41619228336496,77.58380771663505,33288,48.55803893294881,48.55803893294881,16164,17124,2.1,76.6,11.4,5.2,0.1,0.0,22419.0,43779,16.6,19.0,7.2
1003,Baldwin,3,Alabama,1,24344.0,83055.0,22.666877717669625,77.33312228233038,203360,48.94128638867034,48.94128638867034,99527,103833,4.4,83.1,9.5,0.8,0.7,0.0,29364.0,52562,11.8,16.1,5.5
1083,Limestone,83,Alabama,1,13510.0,34337.0,28.23583505757937,71.76416494242062,91695,50.04525873820819,50.04525873820819,45889,45806,5.8,77.2,13.1,0.7,1.2,0.0,26685.0,52831,14.8,20.0,7.1
1089,Madison,89,Alabama,1,86885.0,102395.0,45.90289518174134,54.09710481825868,353213,48.85663891193133,48.85663891193133,172568,180645,4.7,65.1,24.0,0.6,2.5,0.1,34232.0,61318,13.6,20.0,6.5
1039,Covington,39,Alabama,1,2717.0,14579.0,15.708834412580945,84.29116558741906,37519,48.33017937578294,48.33017937578294,18133,19386,1.6,83.5,13.0,0.3,0.4,0.0,22431.0,39467,17.6,25.0,10.7
1055,Etowah,55,Alabama,1,11487.0,35343.0,24.529147982062774,75.47085201793722,103132,48.227514253577944,48.227514253577944,49738,53394,3.7,78.3,15.4,0.5,0.7,0.1,22278.0,42064,17.9,28.7,7.6
1059,Franklin,59,Alabama,1,2085.0,10364.0,16.748333199453768,83.25166680054623,31507,50.20471641222586,50.20471641222586,15818,15689,16.3,77.7,4.7,0.2,0.4,0.1,19314.0,39501,23.0,42.0,8.2
1061,Geneva,61,Alabama,1,1592.0,10844.0,12.801543904792535,87.19845609520746,26572,48.95378594008731,48.95378594008731,13008,13564,3.8,84.0,9.2,0.6,0.4,0.0,21084.0,39293,22.5,37.6,8.9
1031,Coffee,31,Alabama,1,5050.0,16832.0,23.07832922036377,76.92167077963623,51073,49.390088696571574,49.390088696571574,25225,25848,6.7,71.0,17.1,1.0,1.3,0.0,26216.0,49821,16.1,26.3,6.0
1069,Houston,69,Alabama,1,12738.0,32384.0,28.230131643100925,71.76986835689907,104108,47.93579744111884,47.93579744111884,49905,54203,3.2,67.2,26.5,0.3,0.8,0.0,24781.0,42803,18.5,29.5,7.6
1021,Chilton,21,Alabama,1,3056.0,16052.0,15.993301235084779,84.00669876491524,43805,49.20442871818286,49.20442871818286,21554,22251,7.7,80.4,9.5,0.4,0.4,0.0,23368.0,43501,19.4,27.8,6.7
1097,Mobile,97,Alabama,1,78754.0,100605.0,43.908585574183626,56.09141442581637,414328,47.78050240389257,47.78050240389257,197968,216360,2.8,57.5,35.2,0.6,1.9,0.0,24347.0,45802,19.3,29.3,7.5
1101,Montgomery,101,Alabama,1,64065.0,33122.0,65.91931019580808,34.080689804191906,227120,47.31859809792181,47.31859809792181,107470,119650,3.4,35.2,57.1,0.1,2.4,0.0,26712.0,46545,20.8,32.1,7.6
1093,Marion,93,Alabama,1,1457.0,12190.0,10.676339122151386,89.32366087784861,30058,49.504291702708095,49.504291702708095,14880,15178,2.5,91.9,3.2,0.4,0.3,0.0,21835.0,35719,17.6,24.1,5.5
1015,Calhoun,15,Alabama,1,15118.0,34964.0,30.186494149594665,69.81350585040533,115527,48.12121841647407,48.12121841647407,55593,59934,3.6,72.7,20.4,0.2,1.0,0.0,23638.0,43686,18.6,26.6,10.1
1133,Winston,133,Alabama,1,974.0,10187.0,8.726816593495206,91.2731834065048,23968,49.440921228304404,49.440921228304404,11850,12118,3.0,94.1,0.5,0.3,0.3,0.0,20580.0,35362,18.7,29.2,9.4
1111,Randolph,111,Alabama,1,2203.0,8548.0,20.49111710538555,79.50888289461444,22530,48.81491344873502,48.81491344873502,10998,11532,3.0,75.3,19.4,0.2,0.2,0.2,20983.0,39485,18.7,29.7,5.8
1115,St. Clair,115,Alabama,1,7698.0,36119.0,17.568523632380124,82.43147636761988,86937,50.000575129116484,50.000575129116484,43469,43468,2.3,86.2,9.3,0.2,0.8,0.0,24686.0,53483,13.7,17.0,5.8
